zip_code,count,date,change,change_%,population,rate_per_10k
2907,4988,01/27/2021,136,0.028029678483099785,27445,1817.4530879941703
2860,6132,01/27/2021,229,0.03879383364390998,45199,1356.6671829022766
2859,685,01/27/2021,53,0.08386075949367089,6738,1016.62214306916
2861,2688,01/27/2021,129,0.05041031652989458,26164,1027.3658462008866
2826,66,01/27/2021,3,0.04761904761904767,791,834.3868520859671
2873,10,01/27/2021,2,0.25,235,425.531914893617
2909,6966,01/27/2021,227,0.03368452292625013,43540,1599.9081304547544
2875,19,01/27/2021,2,0.11764705882352944,307,618.8925081433225
2858,59,01/27/2021,6,0.1132075471698113,570,1035.0877192982457
2891,1143,01/27/2021,83,0.07830188679245276,21198,539.2018114916502
2835,263,01/27/2021,21,0.08677685950413228,5405,486.586493987049
2908,5630,01/27/2021,192,0.035307098197866926,37467,1502.6556703232177
2874,346,01/27/2021,18,0.054878048780487854,5860,590.4436860068259
2833,22,01/27/2021,1,0.04761904761904767,784,280.61224489795916
2831,366,01/27/2021,18,0.051724137931034475,3515,1041.2517780938833
2825,347,01/27/2021,23,0.07098765432098775,5377,645.3412683652595
2906,2510,01/27/2021,98,0.04063018242122718,28387,884.2075597984992
2910,2274,01/27/2021,104,0.04792626728110605,21000,1082.857142857143
2894,40,01/27/2021,1,0.02564102564102555,722,554.016620498615
2865,1626,01/27/2021,88,0.05721716514954478,16951,959.2354433366763
2817,405,01/27/2021,25,0.06578947368421062,6135,660.1466992665037
2876,56,02/03/2021,5,0.0980392156862746,430,1302.3255813953488
2891,1214,02/03/2021,71,0.06211723534558189,21198,572.695537314841
2885,976,02/03/2021,35,0.037194473963868324,10627,918.4153571092501
2886,2535,02/03/2021,103,0.04235197368421062,29269,866.1040691516622
2828,893,02/03/2021,35,0.04079254079254069,7704,1159.1381100726896
2833,26,02/03/2021,4,0.18181818181818188,784,331.6326530612245
2838,397,02/03/2021,6,0.01534526854219953,3400,1167.6470588235293
2874,376,02/03/2021,30,0.08670520231213863,5860,641.6382252559727
2837,136,02/03/2021,4,0.030303030303030276,3492,389.4616265750286
2802,46,02/03/2021,2,0.045454545454545414,786,585.2417302798982
2842,857,02/03/2021,81,0.10438144329896915,16095,532.4634979807394
2882,1017,02/03/2021,45,0.04629629629629628,14184,717.005076142132
