city_town,county,count,change,change_%,rate_per_10k,date
Smithfield,Providence,31,9,0.40909090909090917,14.344546758595161,4/10/2020
Tiverton,Newport,18,6,0.5,11.342155009451794,4/10/2020
New Shoreham,Washington,0,0,0.0,0.0,4/10/2020
Central Falls,Providence,35,9,0.34615384615384626,18.045888115493685,4/10/2020
Woonsocket,Providence,9,1,0.125,2.168256721595837,4/2/2020
East Providence,Providence,21,1,0.050000000000000044,4.428044280442805,4/2/2020
Central Falls,Providence,11,3,0.375,5.671564836298016,4/2/2020
Scituate,Providence,0,0,0.0,0.0,4/2/2020
Barrington,Bristol,13,1,0.08333333333333326,8.015784930324331,4/2/2020
Smithfield,Providence,12,0,0.0,5.552727777520707,4/2/2020
Cranston,Providence,54,7,0.14893617021276606,6.668395509947024,4/2/2020
East Greenwich,Kent,0,0,0.0,0.0,4/2/2020
Pawtucket,Providence,91,5,0.058139534883721034,12.679392503831684,4/2/2020
Charlestown,Washington,0,0,0.0,0.0,4/2/2020
Westerly,Washington,8,0,0.0,3.535755325731459,4/2/2020
Portsmouth,Newport,7,1,0.16666666666666674,4.008475061558724,4/2/2020
Bristol,Bristol,7,0,0.0,3.1364817635988884,4/2/2020
West Warwick,Kent,12,1,0.09090909090909083,4.179873907137135,4/2/2020
Coventry,Kent,15,2,0.15384615384615374,4.30132193960944,4/2/2020
Providence,Providence,102,6,0.0625,5.682166353776133,4/2/2020
Burrillville,Providence,10,0,0.0,6.11134877467457,4/2/2020
Richmond,Washington,0,0,0.0,0.0,4/2/2020
Cumberland,Providence,21,2,0.10526315789473695,6.087309409241116,4/2/2020
West Greenwich,Kent,0,0,0.0,0.0,4/2/2020
Warwick,Kent,30,1,0.034482758620689724,3.693762466448324,4/2/2020
Warren,Bristol,0,0,0.0,0.0,4/2/2020
South Kingstown,Washington,12,2,0.19999999999999996,3.907267517582704,4/2/2020
Tiverton,Newport,6,0,0.0,3.780718336483932,4/2/2020
Johnston,Providence,11,1,0.10000000000000009,3.772420179018485,4/2/2020
Newport,Newport,9,1,0.125,3.6370984037179226,4/2/2020
North Kingstown,Washington,10,0,0.0,3.820001528000611,4/2/2020
Middletown,Newport,9,0,0.0,5.590062111801242,4/2/2020
Foster,Providence,0,0,0.0,0.0,4/2/2020
North Providence,Providence,61,1,0.016666666666666607,18.85917452465605,4/2/2020
Little Compton,Newport,0,0,0.0,0.0,4/2/2020
Exeter,Washington,0,0,0.0,0.0,4/2/2020
Jamestown,Newport,0,0,0.0,0.0,4/2/2020
Hopkinton,Washington,0,0,0.0,0.0,4/2/2020
Narragansett,Washington,0,0,0.0,0.0,4/2/2020
North Smithfield,Providence,0,0,0.0,0.0,4/2/2020
Lincoln,Providence,11,0,0.0,5.085529357374018,4/2/2020
Glocester,Providence,0,0,0.0,0.0,4/2/2020
New Shoreham,Washington,0,0,0.0,0.0,4/2/2020
Warren,Bristol,0,0,0.0,0.0,4/4/2020
Providence,Providence,136,34,0.33333333333333326,7.576221805034844,4/4/2020
Charlestown,Washington,0,0,0.0,0.0,4/4/2020
Westerly,Washington,9,1,0.125,3.977724741447892,4/4/2020
Pawtucket,Providence,99,8,0.08791208791208782,13.794064372300404,4/4/2020
Little Compton,Newport,0,0,0.0,0.0,4/4/2020
Burrillville,Providence,11,1,0.10000000000000009,6.722483652142028,4/4/2020
West Greenwich,Kent,0,0,0.0,0.0,4/4/2020
New Shoreham,Washington,0,0,0.0,0.0,4/4/2020
North Providence,Providence,68,7,0.11475409836065564,21.023342093059206,4/4/2020
Newport,Newport,13,4,0.4444444444444444,5.2535865831481106,4/4/2020
Cumberland,Providence,25,4,0.19047619047619047,7.246796915763232,4/4/2020
Johnston,Providence,11,0,0.0,3.772420179018485,4/4/2020
East Greenwich,Kent,0,0,0.0,0.0,4/4/2020
Foster,Providence,0,0,0.0,0.0,4/4/2020
Bristol,Bristol,10,3,0.4285714285714286,4.480688233712699,4/4/2020
Scituate,Providence,0,0,0.0,0.0,4/4/2020
Central Falls,Providence,12,1,0.09090909090909083,6.187161639597834,4/4/2020
West Warwick,Kent,20,8,0.6666666666666667,6.966456511895224,4/4/2020
Jamestown,Newport,0,0,0.0,0.0,4/4/2020
Middletown,Newport,9,0,0.0,5.590062111801242,4/4/2020
Lincoln,Providence,12,1,0.09090909090909083,5.547850208044383,4/4/2020
Smithfield,Providence,13,1,0.08333333333333326,6.0154550923141,4/4/2020
East Providence,Providence,24,3,0.1428571428571428,5.060622034791777,4/4/2020
North Smithfield,Providence,0,0,0.0,0.0,4/4/2020
Narragansett,Washington,0,0,0.0,0.0,4/4/2020
Exeter,Washington,0,0,0.0,0.0,4/4/2020
North Kingstown,Washington,15,5,0.5,5.730002292000917,4/4/2020
Portsmouth,Newport,8,1,0.1428571428571428,4.581114356067113,4/4/2020
Richmond,Washington,0,0,0.0,0.0,4/4/2020
Coventry,Kent,23,8,0.5333333333333334,6.59536030740114,4/4/2020
Hopkinton,Washington,0,0,0.0,0.0,4/4/2020
Warwick,Kent,37,7,0.2333333333333334,4.555640375286266,4/4/2020
Tiverton,Newport,7,1,0.16666666666666674,4.410838059231254,4/4/2020
Woonsocket,Providence,12,3,0.33333333333333326,2.891008962127783,4/4/2020
Cranston,Providence,64,10,0.18518518518518512,7.90328356734462,4/4/2020
Glocester,Providence,0,0,0.0,0.0,4/4/2020
Barrington,Bristol,13,0,0.0,8.015784930324331,4/4/2020
South Kingstown,Washington,19,7,0.5833333333333333,6.186506902839281,4/4/2020
Newport,Newport,14,1,0.07692307692307687,5.657708628005658,4/5/2020
Foster,Providence,0,0,0.0,0.0,4/5/2020
